153	17	21	-147
-84	113	-116	-130
-17	128	25	-101
-115	-8	-74	-93
-52	89	91	81
-138	124	89	80
-118	141	-51	-69
2	149	-59	-69
-53	-55	29	-95
-72	104	-96	-99
20	177	-97	-125
-43	-77	76	-85
157	134	70	-75
-86	88	82	73
145	-108	-103	-143
-101	113	-92	-110
146	44	-58	-153
20	43	-78	-149
-78	48	-55	-101
-133	-71	86	52
29	119	-81	-84
-41	109	114	85
115	124	17	-85
-50	138	109	-73
-32	112	94	79
84	149	76	32
66	131	63	-89
89	127	68	-95
-109	128	-73	-98
48	44	110	-128
-121	16	-66	-100
-63	130	-84	-84
102	196	75	33
31	191	-70	-78
93	143	77	-60
-74	119	36	12
145	17	-75	-152
-58	9	-77	-83
-44	-126	84	77
-55	118	-120	-132
157	91	-72	-100
-1	57	-90	-95
-115	80	77	77
-5	68	-120	-154
-96	173	80	51
-106	85	80	80
55	115	94	-71
-88	107	-76	-107
-136	-47	39	-171
42	54	126	-109
-67	-53	56	-142
25	-106	21	-115
50	88	102	-97
